貼付日,機器状態,管区,駅,コーナ,品名,機種,号機,要点検・点検予告理由,最終点検日,,,
5/14/2026,×,田園都市線,青葉台,本屋,改,ＧＸ８,2,改札　券詰まり回数（エド券）　3回／日以上　改札　異常券（エド券）　20回／日以上　改札　サムチェックエラー（エド券）　20回／日以上　改札　券詰まり回数（エド券）　2回／日以上　改札　異常券（エド券）　10回／日以上　改札　異常券（エド券）　5％／日以上　改札　サムチェックエラー（エド券）　10回／日以上　改札側　上蓋SWによる終了3回／日,8/13/2022,,,
5/14/2026,×,田園都市線,宮崎台,本屋,改,ＧＸ８,1,通行制御（主）　（改）IC処理未了発生回数（IC）　10%／日以上,,,,
5/14/2026,△,目黒線,武蔵小山,本屋,改,ＧＸ８,2,分離リトライ　7%／日　（主機）,3/30/2025,,,
5/15/2026,×,目黒線,洗足,本屋,改,ＧＸ８,2,分離不能（投入口返却）　6%／日　（主機）,7/2/2025,,,
5/15/2026,×,池上線,長原,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（主機）　分離リトライ　7%／日　（主機）,8/22/2025,,,
5/15/2026,×,池上線,石川台,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）　分離リトライ　7%／日　（主機）　分離リトライ　7%／日　（従機）,12/15/2024,,,
5/16/2026,×,田園都市線,渋谷,ハチ公A,改,ＧＸ８,1,改札　異常券（定期券）　20回／日以上　改札　異常券（定期券）　10回／日以上　改札　異常券（定期券）　5%／日以上　改札　白紙券（定期券）　10回／日以上,5/24/2024,,,
5/16/2026,×,池上線,石川台,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）　分離リトライ　7%／日　（従機）,12/15/2024,,,
5/16/2026,×,田園都市線,南町田ｸﾞﾗﾝ,本屋,改,ＧＸ８,3,改札　券詰まり回数（エド券）　3回／日以上　集札　券詰まり回数（エド券）　3回／日以上　改札　券詰まり回数（エド券）　2回／日以上　集札　券詰まり回数（エド券）　2回／日以上　改札側　上蓋SWによる終了3回／日,3/27/2025,,,
5/16/2026,×,田園都市線,宮崎台,本屋,改,ＧＸ８,1,改札　IC読取未了発生回数　200回／日以上　通行制御（主）　（改）IC処理未了発生回数（IC）　10%／日以上,,,,
5/17/2026,×,田園都市線,渋谷,ハチ公A,改,ＧＸ８,1,改札　異常券（定期券）　20回／日以上　改札　白紙券（定期券）　20回／日以上　改札　異常券（定期券）　10回／日以上　改札　異常券（定期券）　5%／日以上　改札　白紙券（定期券）　10回／日以上,5/24/2024,,,
5/17/2026,×,目黒線,大岡山,本屋,改,ＧＸ８,2,集札　IC　R／W通信異常　10回／日以上　集札　IC　R/W通信異常　5回／日以上,8/14/2022,,,
5/17/2026,×,田園都市線,宮前平,本屋,改,ＧＸ８,4,分離不能（投入口返却）　6%／日　（主機）　集札　券詰まり回数（エド券）　2回／日以上　分離リトライ　7%／日　（主機）,11/29/2024,,,
5/17/2026,×,田園都市線,鷺沼,本屋,改,ＧＸ８,4,集札　券詰まり回数（エド券）　3回／日以上　集札　券詰まり回数（エド券）　2回／日以上,4/13/2025,,,
5/17/2026,×,目黒線,洗足,本屋,改,ＧＸ８,2,分離不能（投入口返却）　6%／日　（主機）,7/2/2025,,,
5/17/2026,×,田園都市線,青葉台,本屋,改,ＧＸ８,2,改札　異常券（エド券）　20回／日以上　改札　券詰まり回数（エド券）　2回／日以上　改札　異常券（エド券）　10回／日以上　改札　異常券（エド券）　5％／日以上　改札　サムチェックエラー（エド券）　10回／日以上,8/13/2022,,,
5/18/2026,△,田園都市線,宮前平,本屋,改,ＧＸ８,1,分離リトライ　7%／日　（主機）,8/27/2024,,,
5/18/2026,×,田園都市線,渋谷,ハチ公A,改,ＧＸ８,9,集札　券詰まり回数（エド券）　3回／日以上　集札　券詰まり回数（エド券）　2回／日以上,8/14/2025,,,
5/18/2026,△,田園都市線,宮前平,本屋,改,ＧＸ８,3,分離リトライ　7%／日　（主機）,11/10/2024,,,
5/18/2026,×,田園都市線,宮前平,本屋,改,ＧＸ８,4,分離不能（投入口返却）　6%／日　（主機）　分離リトライ　7%／日　（主機）,11/29/2024,,,
5/18/2026,△,田園都市線,たまプラーザ,本屋,改,ＧＸ８,5,分離リトライ　7%／日　（主機）,9/19/2025,,,
5/18/2026,×,目黒線,洗足,本屋,改,ＧＸ８,2,分離不能（投入口返却）　6%／日　（主機）　分離リトライ　7%／日　（主機）,7/2/2025,,,
5/18/2026,×,田園都市線,青葉台,本屋,改,ＧＸ８,6,改札　券詰まり回数（エド券）　3回／日以上　改札　券詰まり回数（エド券）　2回／日以上　改札側　上蓋SWによる終了3回／日,3/8/2025,,,
5/18/2026,×,田園都市線,青葉台,本屋,改,ＧＸ８,2,ハンドラ（主）　PH27異常　5回／日以上,8/13/2022,,,
5/18/2026,△,東横線,横浜,本屋,改,ＧＸ８,4,分離リトライ　7%／日　（従機）,9/9/2025,,,
5/18/2026,×,ＭＭ線,馬車道,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）　改札　異常券（大型券）　8%／日以上,7/29/2025,,,
5/19/2026,×,池上線,五反田,連絡,改,ＧＸ８,28,通行制御（主）　（改）IC処理未了発生回数（IC）　10%／日以上,11/4/2025,,,
5/19/2026,×,ＭＭ線,みなとみらい,本屋,改,ＧＸ８,2,分離不能（投入口返却）　6%／日　（従機）,7/29/2025,,,
5/19/2026,×,田園都市線,宮崎台,本屋,改,ＧＸ８,1,通行制御（主）　（改）IC処理未了発生回数（IC）　10%／日以上,,,,
5/19/2026,×,田園都市線,藤が丘,本屋,改,ＧＸ８,3,集札　券詰まり回数（定期券）　3回／日以上　集札　券詰まり回数（定期券）　2回／日以上　集札側　上蓋SWによる終了3回／日,4/29/2025,,,
5/19/2026,×,目黒線,洗足,本屋,改,ＧＸ８,2,分離不能（投入口返却）　6%／日　（主機）,7/2/2025,,,
5/19/2026,△,目黒線,洗足,本屋,改,ＧＸ８,3,分離リトライ　7%／日　（従機）,9/15/2025,,,
5/20/2026,△,田園都市線,渋谷,ハチ公A,改,ＧＸ８,1,改札　異常券（定期券）　10回／日以上　改札　異常券（定期券）　5%／日以上　改札　白紙券（定期券）　10回／日以上,5/24/2024,,,
5/20/2026,×,田園都市線,宮崎台,本屋,改,ＧＸ８,1,改札　IC読取未了発生回数　200回／日以上　通行制御（主）　（改）IC処理未了発生回数（IC）　10%／日以上,,,,
5/20/2026,×,池上線,石川台,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）　分離リトライ　7%／日　（主機）　分離リトライ　7%／日　（従機）,12/15/2024,,,
5/20/2026,△,池上線,石川台,本屋,改,ＧＸ８,3,分離リトライ　7%／日　（従機）,1/17/2024,,,
5/20/2026,△,ＭＭ線,元町・中華街,Ａ,改,ＧＸ８,51,分離リトライ　8%／日　（従機）,7/29/2025,,,
5/20/2026,△,東横線,横浜,南,改,ＧＸ８,9,分離リトライ　7%／日　（主機）,9/9/2025,,,
5/20/2026,×,池上線,雪が谷大塚,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）　分離リトライ　7%／日　（従機）,7/5/2025,,,
5/20/2026,×,ＭＭ線,馬車道,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）　分離リトライ　8%／日　（従機）,7/29/2025,,,
5/21/2026,×,ＭＭ線,みなとみらい,Ａ,改,ＧＸ８,55,分離不能（投入口返却）　6%／日　（従機）,1/9/2024,,,
5/21/2026,×,池上線,石川台,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（主機）　分離不能（投入口返却）　6%／日　（従機）　分離リトライ　7%／日　（主機）　分離リトライ　7%／日　（従機）,12/15/2024,,,
5/21/2026,△,池上線,長原,本屋,改,ＧＸ８,3,分離リトライ　7%／日　（主機）,6/8/2023,,,
5/21/2026,×,ＭＭ線,馬車道,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）,7/29/2025,,,
5/21/2026,×,ＭＭ線,元町・中華街,Ａ,改,ＧＸ８,56,分離不能（投入口返却）　6%／日　（従機）,2/25/2026,,,
5/21/2026,×,目黒線,洗足,本屋,改,ＧＸ８,2,分離不能（投入口返却）　6%／日　（主機）　分離リトライ　7%／日　（主機）,7/2/2025,,,
5/22/2026,×,ＭＭ線,みなとみらい,本屋,改,ＧＸ８,2,分離不能（投入口返却）　6%／日　（従機）,7/29/2025,,,
5/22/2026,×,池上線,石川台,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（主機）,12/15/2024,,,
5/22/2026,×,ＭＭ線,馬車道,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）　集札　異常券（定期券）　5%／日以上,7/29/2025,,,
5/22/2026,×,ＭＭ線,みなとみらい,本屋,改,ＧＸ８,2,分離不能（投入口返却）　6%／日　（従機）,7/29/2025,,,
5/22/2026,×,ＭＭ線,馬車道,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）　集札　異常券（定期券）　5%／日以上,7/29/2025,,,
5/23/2026,×,田園都市線,二子新地,A,改,ＧＸ８,21,分離不能（投入口返却）　6%／日　（主機）,7/9/2022,,,
5/23/2026,×,田園都市線,渋谷,ヒカリ1,改,ＧＸ８,8,集札　券詰まり回数（エド券）　3回／日以上　ハンドラ（従）　PH29異常　5回／日以上　集札　券詰まり回数（エド券）　2回／日以上　集札　異常券（エド券）　10回／日以上　集札　異常券（エド券）　5%／日以上　集札　異常券（定期券）　5%／日以上,5/15/2025,,,
5/23/2026,×,池上線,石川台,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（主機）　分離リトライ　7%／日　（主機）,12/15/2024,,,
5/23/2026,×,ＭＭ線,馬車道,本屋,改,ＧＸ８,1,分離不能（投入口返却）　6%／日　（従機）　集札　異常券（大型券）　8%／日以上,7/29/2025,,,
