貼付日,機器状態,管区,駅,コーナ,品名,機種,号機,要点検・点検予告理由,最終点検日,,,,,,,,,,,,,,,,,,,
5/24/2026,×,田園都市線,たまプラーザ,本屋,改,ＧＸ８,1,改札　券詰まり回数（エド券）　3回／日以上　改札　券詰まり回数（エド券）　2回／日以上,2/12/2023,,,,,,,,,,,,,,,,,,,
5/24/2026,×,田園都市線,三軒茶屋,本屋,改,ＧＸ８,6,ハンドラ（主）　PH29異常　5回／日以上,1/12/2026,,,,,,,,,,,,,,,,,,,
5/24/2026,×,ＭＭ線,元町・中華街,Ａ,改,ＧＸ８,56,分離不能（投入口返却）　6%／日　（従機）,2/25/2026,,,,,,,,,,,,,,,,,,,
5/24/2026,×,田園都市線,桜新町,本屋,改,ＧＸ８,5,分離不能（投入口返却）　6%／日　（主機）,,,,,,,,,,,,,,,,,,,,
5/24/2026,×,田園都市線,長津田,本屋,改,ＧＸ８,1,ハンドラ（主）　PH27異常　5回／日以上　ハンドラ（主）　PH28異常　5回／日以上,2/26/2023,,,,,,,,,,,,,,,,,,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,1,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,2,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,3,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,4,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,5,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,6,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,7,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,8,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,9,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,10,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,改,ＧＸ８,11,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,南,監,ＫＸ８,4,前回点検から80日経過　前回点検から２ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,1,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,2,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,3,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,4,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,5,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,6,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,7,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,8,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,9,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,10,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,改,ＧＸ８,11,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,新宿,西上,監,ＫＸ８,4,前回点検から80日経過　前回点検から２ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,南新宿,本屋,改,ＧＸ８,1,前回点検から80日経過　前回点検から2ヶ月経過,3/3/2026,82,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,南新宿,本屋,改,ＧＸ８,2,前回点検から80日経過　前回点検から2ヶ月経過,3/3/2026,82,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,南新宿,本屋,改,ＧＸ８,3,前回点検から80日経過　前回点検から2ヶ月経過,3/3/2026,82,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,南新宿,本屋,改,ＧＸ８,4,前回点検から80日経過　前回点検から2ヶ月経過,3/3/2026,82,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,南新宿,本屋,監,ＫＸ８,4,前回点検から80日経過　前回点検から２ヶ月経過,3/3/2026,82,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,参宮橋,本屋,改,ＧＸ８,1,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,参宮橋,本屋,改,ＧＸ８,2,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,参宮橋,本屋,改,ＧＸ８,3,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,参宮橋,本屋,改,ＧＸ８,4,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,参宮橋,本屋,監,ＫＸ８,4,前回点検から80日経過　前回点検から２ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木八幡,本屋,改,ＧＸ８,1,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木八幡,本屋,改,ＧＸ８,2,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木八幡,本屋,改,ＧＸ８,3,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木八幡,本屋,改,ＧＸ８,4,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木八幡,本屋,改,ＧＸ８,5,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木八幡,本屋,監,ＫＸ８,4,前回点検から80日経過　前回点検から２ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木上原,本屋,改,ＧＸ８,1,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木上原,本屋,改,ＧＸ８,2,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木上原,本屋,改,ＧＸ８,3,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木上原,本屋,改,ＧＸ８,4,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木上原,本屋,改,ＧＸ８,5,前回点検から80日経過　前回点検から2ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,代々木上原,本屋,監,ＫＸ８,4,前回点検から80日経過　前回点検から２ヶ月経過,3/4/2026,81,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,東北沢,西,改,ＧＸ８,3,分離不能（投入口返却）／日　（従機）　前回点検から2ヶ月経過,3/22/2026,63,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,下北沢,中央,改,ＧＸ８,3,通行制御（主）　ＰＨ１９ダウン予告検知回数　 ３回／３日以上　通行制御（主）　ＰＨ２０ダウン予告検知回数　 ３回／３日以上　通行制御（主）　ＰＨ２１ダウン予告検知回数　 ３回／３日以上　通行制御（主）　ＰＨ２２ダウン予告検知回数　 ３回／３日以上　通行制御（主）　ＰＨ２３ダウン予告検知回数　 ３回／３日以上　通行制御（主）　ＰＨ２４ダウン予告検知回数　 ３回／３日以上,4/27/2026,27,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,下北沢,南西口,改,ＧＸ８,1,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,下北沢,南西口,改,ＧＸ８,2,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,下北沢,南西口,改,ＧＸ８,3,前回点検から80日経過　前回点検から2ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,下北沢,南西口,監,ＫＸ８,6,前回点検から80日経過　前回点検から２ヶ月経過,2/21/2026,92,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,梅ヶ丘,本屋,改,ＧＸ８,1,通行制御（主）　ＰＨ３０ダウン予告検知回数　 ３回／３日以上　前回点検から2ヶ月経過,3/6/2026,79,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,祖師ヶ谷大蔵,本屋,改,ＧＸ８,1,前回点検から80日経過　前回点検から2ヶ月経過,3/5/2026,80,,,,,,,,,,,,,,,,5/24/2026,,
5/24/2026,×,小田原線,祖師ヶ谷大蔵,本屋,改,ＧＸ８,2,前回点検から80日経過　前回点検から2ヶ月経過,3/5/2026,80,,,,,,,,,,,,,,,,5/24/2026,,
